gene_id,c1,c2,c3,cd1,cd2,cu1,cu2
NIS_RS05215,6756,1306,1713,161,171,4121,1253
NIS_RS05220,5690,960,1418,103,92,3192,1296
NIS_RS05225,4430,683,1061,74,47,1277,621
NIS_RS05230,2795,548,802,146,126,971,380
NIS_RS05235,1692,1051,2394,528,486,2182,896
NIS_RS05240,1194,1073,2238,614,549,2373,1828
NIS_RS05245,921,1005,1994,1376,1009,488,322
NIS_RS05250,5744,2550,5644,3647,2913,2961,1630
NIS_RS05255,5968,2039,4497,3119,2567,4961,1840
NIS_RS05260,1728,586,1101,904,756,1503,332
NIS_RS05265,4836,1475,2951,1598,1414,5558,1850
NIS_RS05270,2439,853,1166,529,472,3132,1146
NIS_RS05275,1747,598,797,248,223,1473,467
NIS_RS05280,497,199,260,123,81,270,74
NIS_RS05285,834,327,452,302,250,540,220
NIS_RS05290,1891,736,2091,816,633,788,336
NIS_RS05295,1481,715,1298,622,599,359,153
NIS_RS05300,1045,408,627,537,542,386,210
NIS_RS05305,1771,575,964,1074,916,1295,549
NIS_RS05310,5926,1948,3209,3319,2731,3498,2382
NIS_RS05315,663,128,493,127,159,742,234
NIS_RS05320,841,270,698,361,310,789,346
NIS_RS05325,2063,816,2504,1129,989,982,515
NIS_RS05330,4531,1278,3658,1096,816,2379,1137
NIS_RS05335,4481,1564,3644,1182,1119,1472,624
NIS_RS05340,1204,527,1327,505,379,657,208
NIS_RS05345,3391,1266,3615,1724,1416,1145,650
NIS_RS05350,1510,520,1715,459,403,656,341
NIS_RS05355,536,203,286,85,96,198,95
NIS_RS05360,408,187,313,84,63,137,59
NIS_RS05365,1589,629,1382,513,423,1408,550
NIS_RS05370,1311,664,1552,800,743,1061,503
NIS_RS05375,9687,4568,12866,4155,3413,13296,6980
NIS_RS05380,2631,1210,2388,1012,679,4481,3087
NIS_RS05385,2193,875,1738,590,541,4871,3460
NIS_RS05390,4558,1729,2982,1045,811,7414,4363
NIS_RS05395,1917,626,881,212,150,1176,758
NIS_RS05400,692,190,184,414,307,224,108
NIS_RS05405,57,44,50,44,39,41,42
NIS_RS05410,165,86,144,78,54,41,27
NIS_RS05415,2076,599,2072,657,515,757,502
NIS_RS05420,215,73,191,45,61,58,66
NIS_RS05425,133,60,64,37,54,15,47
NIS_RS05430,111,57,75,57,45,23,35
NIS_RS05435,1990,732,1955,978,763,1005,516
NIS_RS05440,1041,311,667,256,139,519,307
NIS_RS05445,1748,678,1929,759,559,1557,513
NIS_RS05450,9201,2833,8584,2548,2028,10341,4895
NIS_RS05455,1514,319,778,219,198,794,529
NIS_RS05460,931,212,559,144,131,493,311
NIS_RS05465,55167,89463,189309,60847,48987,90732,28020
NIS_RS05470,10363,15603,26166,5375,3783,30401,6482
NIS_RS05475,18100,28815,46603,6822,5692,53630,11507
NIS_RS05480,8602,14389,22607,3398,2942,14095,3101
NIS_RS05485,1085,808,1033,272,243,1335,440
NIS_RS05490,2134,534,782,139,106,2423,1443
NIS_RS05495,2622,783,1003,284,335,2535,1504
NIS_RS05500,1056,348,542,166,166,834,224
NIS_RS05505,5219,1402,2133,489,476,7416,2854
NIS_RS05510,4765,1184,3256,392,375,9579,3637
NIS_RS05515,6288,2063,6273,678,582,8557,3261
NIS_RS05520,3723,1742,4398,819,657,2330,1185
NIS_RS05525,3396,918,1903,360,264,1636,854
NIS_RS05530,626,116,345,62,42,314,84
NIS_RS05535,2870,834,2265,358,286,2618,786
NIS_RS05540,6936,2733,8919,1520,1260,3581,1531
NIS_RS05545,4327,1900,4929,1920,1700,2374,1607
NIS_RS05550,12895,4780,9540,6102,5272,10446,5136
NIS_RS05555,10844,3474,5295,2791,2250,9313,4242
NIS_RS05560,4196,1305,2306,1050,961,3180,1532
NIS_RS05565,2047,414,851,193,176,1121,572
NIS_RS05570,3094,531,1505,124,160,2144,780
NIS_RS05575,11371,2645,10571,2103,1970,6124,3041
NIS_RS05580,1471,483,1333,439,285,1500,625
NIS_RS05585,792,167,415,99,90,263,119
NIS_RS05590,8544,2937,7871,2423,2147,7285,3619
NIS_RS05595,956,405,711,316,264,1369,516
NIS_RS05600,2436,930,2070,829,668,3615,2209
NIS_RS05605,1422,650,1361,1155,1050,2524,757
NIS_RS05610,9526,6569,10784,12005,10188,11202,6006
NIS_RS05615,1648,836,1452,630,611,1144,431
NIS_RS05620,689,309,811,282,240,806,385
NIS_RS05625,1477,395,835,369,386,1622,991
NIS_RS05630,1565,471,1305,408,317,1366,970
NIS_RS05635,377,206,292,135,111,781,282
NIS_RS05640,682,425,731,266,234,1323,540
NIS_RS05645,385,147,395,139,116,227,71
NIS_RS05650,1806,568,1383,632,590,1524,992
NIS_RS05655,11139,4795,11188,3075,2596,15833,7817
NIS_RS05660,1735,868,1959,817,665,979,546
NIS_RS10035,1287,599,1585,488,457,601,414
NIS_RS05670,2620,870,2665,636,620,2780,1880
NIS_RS05675,341,83,235,54,31,276,66
NIS_RS05680,1436,493,800,210,151,1432,583
NIS_RS05685,841,226,659,161,151,489,301
NIS_RS05690,2888,1199,3403,1559,1288,1525,460
NIS_RS05695,2692,949,2723,938,563,1060,590
NIS_RS05700,2824,953,2808,698,466,1031,563
NIS_RS05705,1626,549,1188,729,651,1490,1213
NIS_RS05710,1595,449,710,127,107,1096,455
NIS_RS05715,2275,698,1289,292,191,2253,814
NIS_RS05720,1605,461,796,381,288,2085,950
NIS_RS05725,261,141,169,133,112,267,134
NIS_RS05730,460,242,388,80,72,341,148
NIS_RS05735,5606,2236,4740,1188,1003,4218,1651
NIS_RS05740,3311,1911,4283,1501,1180,1633,895
NIS_RS10195,2486,708,1822,461,358,1254,569
NIS_RS05750,2485,1645,2453,884,775,927,518
NIS_RS05755,1830,1232,2136,847,744,1372,499
NIS_RS10320,287,168,413,88,95,193,64
NIS_RS10325,665,276,611,183,173,490,216
NIS_RS05765,5600,1205,2509,772,611,1816,1182
NIS_RS05770,4380,888,1336,541,464,600,453
NIS_RS05775,8717,1580,3618,826,558,934,751
NIS_RS05780,3945,1792,5617,1410,1144,1792,964
NIS_RS05785,5170,1610,5245,1174,1030,3055,1120
NIS_RS10270,573,220,492,114,86,192,74
NIS_RS05790,282,99,178,53,32,433,176
NIS_RS05795,683,217,304,91,57,391,321
NIS_RS05800,479,95,177,63,62,410,97
NIS_RS05805,2586,620,1143,354,288,2123,1011
NIS_RS05810,2729,797,2341,682,578,2759,1667
NIS_RS05815,3460,760,2200,404,355,1052,559
NIS_RS05820,4251,1863,4530,1341,1184,1593,1151
NIS_RS05825,3186,769,2410,777,618,1525,588
NIS_RS05830,3390,1003,3268,833,661,2107,1008
NIS_RS05835,2017,574,1560,157,129,1350,766
